Request_ID,State,District,Category,Sub_Category,Citizen_Upvotes,Urgency_Level,GatiShakti_Status,Allocated_Budget_INR,Days_Pending,Infrastructure_Gap_Score
REQ_100000,Telangana,Hyderabad,Sanitation & Waste,Clogged Drainage,352.0,Medium,Under Construction,27349277.0,344,2
REQ_100001,Tamil Nadu,Chennai,Sanitation & Waste,Bio-waste Mismanagement,323.0,High,Completed,10641724.0,13,3
REQ_100002,Bihar,Muzaffarpur,Power & Energy,No Electricity Access,157.0,Low,No Planned Project,0.0,186,5
REQ_100003,Telangana,Medchal-Malkajgiri,Sanitation & Waste,Open Garbage Dumps,166.0,High,No Planned Project,0.0,2,7
REQ_100004,Karnataka,Mysuru,Digital & DPI,Poor Telecom Connectivity,56.0,High,Completed,13216338.0,349,3
REQ_100005,Gujarat,Surat,Sanitation & Waste,Open Garbage Dumps,230.0,High,Pipeline,4601805.0,346,5
REQ_100006,Bihar,Patna,Digital & DPI,No Public Wi-Fi Spot,110.0,Medium,Under Construction,49958801.0,262,2
REQ_100007,Bihar,Darbhanga,Sanitation & Waste,Open Garbage Dumps,159.0,High,Completed,39105974.0,341,3
REQ_100008,Telangana,Hyderabad,Digital & DPI,Poor Telecom Connectivity,346.0,Critical,Completed,23707885.0,175,4
REQ_100009,Uttar Pradesh,Prayagraj,Sanitation & Waste,Open Garbage Dumps,365.0,High,No Planned Project,0.0,200,7
REQ_100010,Karnataka,Mangaluru,Sanitation & Waste,Clogged Drainage,43.0,High,No Planned Project,0.0,251,7
REQ_100011,Telangana,Hyderabad,Water Supply,Contaminated Water,533.0,Medium,Under Construction,47930726.0,175,4
REQ_100012,Karnataka,Bengaluru Urban,Digital & DPI,Digital Payment Failures,102.0,Medium,Pipeline,4124916.0,327,4
REQ_100013,Karnataka,Bengaluru Urban,Digital & DPI,No Public Wi-Fi Spot,257.0,,Under Construction,41397920.0,75,1
REQ_100014,Gujarat,Surat,Digital & DPI,Digital Payment Failures,434.0,High,Pipeline,617680.0,299,5
REQ_100015,Bihar,Gaya,Roads & Transport,Traffic Bottleneck,60.0,Medium,Pipeline,1511892.0,96,4
REQ_100016,Tamil Nadu,Salem,Sanitation & Waste,Lack of Public Toilets,134.0,Medium,No Planned Project,0.0,339,6
REQ_100017,Gujarat,Bhavnagar,Digital & DPI,Digital Payment Failures,208.0,Low,Pipeline,1176326.0,191,3
REQ_100018,Gujarat,Ahmedabad,Roads & Transport,Missing Streetlights,519.0,Critical,No Planned Project,0.0,51,10
REQ_100019,Karnataka,Belagavi,Water Supply,Broken Pipeline,,High,No Planned Project,443532.0,85,9
REQ_100020,West Bengal,North 24 Parganas,Digital & DPI,No Public Wi-Fi Spot,157.0,Medium,Pipeline,2031099.0,202,4
REQ_100021,Bihar,Darbhanga,Digital & DPI,No Public Wi-Fi Spot,51.0,Medium,Pipeline,2555867.0,259,4
REQ_100022,Uttar Pradesh,Agra,Roads & Transport,Unpaved Roads,,Medium,Pipeline,797625.0,105,4
REQ_100023,Gujarat,Surat,Sanitation & Waste,Lack of Public Toilets,279.0,High,Under Construction,40753264.0,174,3
REQ_100024,Tamil Nadu,Trichy,Water Supply,Irregular Supply,489.0,,Pipeline,874826.0,241,4
REQ_100025,West Bengal,Hooghly,Digital & DPI,Digital Payment Failures,398.0,Critical,Pipeline,4819776.0,95,6
REQ_100026,West Bengal,South 24 Parganas,Sanitation & Waste,Open Garbage Dumps,256.0,Medium,No Planned Project,0.0,166,6
REQ_100027,Uttar Pradesh,Lucknow,Water Supply,Broken Pipeline,702.0,Critical,Pipeline,1982357.0,103,8
REQ_100028,Gujarat,Surat,Power & Energy,Faulty Transformer,53.0,Critical,Pipeline,2442026.0,129,6
REQ_100029,Tamil Nadu,Trichy,Power & Energy,Frequent Load Shedding,13.0,High,Pipeline,4218766.0,85,5
REQ_100030,Bihar,Muzaffarpur,Water Supply,Contaminated Water,182.0,Critical,No Planned Project,214175.0,270,8
REQ_100031,Maharashtra,Nagpur,Roads & Transport,Traffic Bottleneck,48.0,High,Under Construction,9038976.0,236,3
REQ_100032,Tamil Nadu,Coimbatore,Water Supply,Irregular Supply,118.0,Low,Pipeline,765288.0,38,3
REQ_100033,Uttar Pradesh,Kanpur Nagar,Water Supply,Low Water Pressure,690.0,Critical,No Planned Project,0.0,292,10
REQ_100034,West Bengal,South 24 Parganas,Roads & Transport,Potholes,374.0,Medium,Completed,32138974.0,125,2
REQ_100035,Bihar,Patna,Roads & Transport,Potholes,207.0,Medium,Completed,10436947.0,244,2
REQ_100036,Tamil Nadu,Chennai,Sanitation & Waste,Lack of Public Toilets,993.0,Medium,No Planned Project,0.0,94,8
