request_id,timestamp,state,district,latitude,longitude,category,complaint_text,urgency_level,priority_class,upvotes,infrastructure_gap,budget_required,days_since_last_maintenance,population_density,vulnerability_index,status
CG-10000,2026-08-03,Uttar Pradesh,Bahraich,27.59615,81.57288,Healthcare,Maternal care ward ceiling is leaking and power backup is non-functional.,Critical,3,121,75.31,27616605,45,1558.7,0.84,Under Review
CG-10001,2026-08-17,Uttar Pradesh,Sitapur,27.54544,80.64594,Water & Sanitation,"Deep borewell pump burned out three weeks ago, acute water crisis in village.",Medium,1,70,58.52,15894107,81,1148.3,0.79,Scheduled
CG-10002,2026-08-16,Uttar Pradesh,Balrampur,27.40822,82.18444,Water & Sanitation,"Deep borewell pump burned out three weeks ago, acute water crisis in village.",Critical,3,59,77.19,28990400,40,804.8,0.86,Active
CG-10003,2026-08-04,Uttar Pradesh,Shravasti,27.69082,81.94557,Public Safety,নদীর বাঁধ ভেঙে লোকালয়ে জল ঢোকার প্রবল আশঙ্কা দেখা দিয়েছে।,Critical,3,99,79.21,38781218,140,1101.7,0.89,Active
CG-10004,2026-09-05,Uttar Pradesh,Gonda,27.07086,81.93121,Energy & Power,Rural feeder line suffers 18 hours of unscheduled blackouts daily during harvest.,Medium,1,73,68.74,3871486,79,1073.3,0.76,Scheduled
CG-10005,2026-08-04,Uttar Pradesh,Raebareli,26.25545,81.20373,Digital Infrastructure & DPI,অপটিক্যাল ফাইবার সংযোগ বিচ্ছিন্ন হওয়ায় ডিজিটাল পরিষেবা বন্ধ।,Critical,3,109,64.86,19317367,421,1430.5,0.68,Active
CG-10006,2026-08-02,Uttar Pradesh,Hardoi,27.32703,80.15552,Education,সরকারি প্রাথমিক বিদ্যালয়ের ভবন ভেঙে পড়ার আশঙ্কায় ক্লাস বন্ধ।,Critical,3,91,57.13,11350014,480,1319.2,0.74,Under Review
CG-10007,2026-08-11,Uttar Pradesh,Lucknow,26.78995,80.9879,Public Safety,"Rural highway intersection lacks high-mast streetlights, high rate of night crime.",Low,0,60,46.62,3971572,73,1058.9,0.38,Active
CG-10008,2026-08-16,Bihar,Darbhanga,26.19082,85.90495,Education,A escola pública está com a estrutura danificada e sem saneamento para os alunos.,Critical,3,63,75.82,10190928,364,1023.7,0.88,Scheduled
CG-10009,2026-08-14,Bihar,Katihar,25.43319,87.58522,Public Safety,O dique de contenção contra enchentes está sob risco de ruptura iminente.,Critical,3,43,76.03,29764381,91,737.1,0.85,Pending Funding
CG-10010,2026-08-17,Bihar,Madhubani,26.31967,86.0983,Digital Infrastructure & DPI,ऑप्टिकल फाइबर केबल कटने से जन सेवा केंद्र ठप है और राशन वितरण रुक गया है।,Critical,3,66,80.81,22674504,35,1108.7,0.87,Under Review
