cluster,latitude,longitude,district,state,dominant_category,request_count,average_severity,infrastructure_gap_score,hotspot_id,estimated_beneficiaries
0,12.36986,80.35431,Hyderabad,Telangana,Water Supply,264,64.1,54.6,HS-001,488400
1,23.74095,89.88454,Chennai,Tamil Nadu,Water Supply,248,62.4,54.0,HS-002,458800
2,26.13719,85.64489,Darbhanga,Bihar,Water Supply,506,63.0,51.7,HS-003,936100
3,29.75459,77.60742,Medchal-Malkajgiri,Telangana,Power & Energy,261,62.1,53.2,HS-004,482850
4,14.66287,88.01396,Belagavi,Karnataka,Power & Energy,467,62.8,53.4,HS-005,863950
5,17.76696,86.73336,Warangal,Maharashtra,Digital & DPI,739,62.2,51.8,HS-006,1367150
6,22.16039,81.0144,Patna,Bihar,Digital & DPI,216,61.5,51.0,HS-007,399600
7,25.86388,72.44565,Prayagraj,Uttar Pradesh,Roads & Transport,223,60.1,50.4,HS-008,412550
8,17.512,83.41137,Mangaluru,Karnataka,Roads & Transport,244,65.8,54.8,HS-009,451400
9,17.4244,75.51719,North 24 Parganas,Karnataka,Power & Energy,739,61.4,52.5,HS-010,1367150
10,24.79429,85.00198,Gaya,Bihar,Power & Energy,237,61.5,52.3,HS-011,438450
11,21.39232,73.46844,Salem,Tamil Nadu,Roads & Transport,253,61.1,48.8,HS-012,468050
12,21.62073,78.34045,Bhavnagar,Gujarat,Digital & DPI,237,63.0,52.8,HS-013,438450
13,12.74253,81.88707,Ahmedabad,Gujarat,Roads & Transport,254,61.9,52.9,HS-014,469900
14,24.59105,88.1161,Agra,Uttar Pradesh,Sanitation & Waste,261,63.0,50.4,HS-015,482850
15,12.51411,87.60679,Trichy,Tamil Nadu,Water Supply,234,60.8,52.0,HS-016,432900
16,14.19865,72.15006,Hooghly,West Bengal,Power & Energy,243,63.1,51.2,HS-017,449550
17,14.8165,74.68985,South 24 Parganas,West Bengal,Roads & Transport,232,62.3,51.3,HS-018,429200
18,26.84713,80.94816,Lucknow,Uttar Pradesh,Sanitation & Waste,229,61.5,52.7,HS-019,423650
19,17.60279,73.55928,Nagpur,Maharashtra,Digital & DPI,242,62.3,52.6,HS-020,447700
20,17.38334,89.4227,Coimbatore,Tamil Nadu,Sanitation & Waste,222,61.6,50.7,HS-021,410700
21,18.3469,82.0887,Kanpur Nagar,Uttar Pradesh,Digital & DPI,218,62.8,50.1,HS-022,403300
22,26.0932,80.43663,Thane,Maharashtra,Power & Energy,257,58.9,47.4,HS-023,475450
23,12.77472,85.19803,Mumbai Suburban,Maharashtra,Roads & Transport,216,62.7,49.5,HS-024,399600
24,18.46841,89.03749,Nizamabad,Telangana,Water Supply,219,63.1,54.8,HS-025,405150
25,13.68215,72.8258,Varanasi,Uttar Pradesh,Water Supply,237,60.7,49.6,HS-026,438450
26,22.5,79.5,Unknown,Tamil Nadu,Water Supply,400,63.8,54.0,HS-027,740000
27,24.39394,72.9106,Kolkata,West Bengal,Digital & DPI,223,62.3,53.2,HS-028,412550
28,13.63981,85.61381,Rangareddy,Telangana,Water Supply,209,61.2,52.1,HS-029,386650
29,23.19638,77.80694,Pune,Maharashtra,Power & Energy,248,62.3,52.8,HS-030,458800
30,24.99707,80.72231,Bhagalpur,Bihar,Roads & Transport,259,62.5,50.4,HS-031,479150
31,12.28045,74.52129,Madurai,Tamil Nadu,Roads & Transport,249,60.9,52.7,HS-032,460650
32,28.95488,80.08286,Howrah,West Bengal,Digital & DPI,248,60.0,48.7,HS-033,458800
33,28.77938,82.16338,Rajkot,Gujarat,Digital & DPI,229,60.4,51.8,HS-034,423650
34,15.99844,74.40737,Vadodara,Gujarat,Water Supply,237,61.9,51.4,HS-035,438450
