hotspot_cluster,latitude,longitude,request_count,dominant_category,average_severity
0,18.857248173947113,82.36243560095329,264,Water Supply,1.5643939393939394
1,35.57185146090847,68.99821326839324,248,Water Supply,1.4959677419354838
2,29.225444298873533,94.36879093058516,249,Water Supply,1.5261044176706828
3,25.53796354063603,75.67265031436828,493,Water Supply,1.486815415821501
4,12.530310272747505,87.2168069976982,231,Power & Energy,1.5108225108225108
5,12.525603771622476,77.03664804892303,236,Digital & DPI,1.4915254237288136
6,9.682151006627217,83.08014793416686,216,Digital & DPI,1.4583333333333333
7,33.12298111004607,83.85505421938413,257,Digital & DPI,1.5136186770428015
8,25.552142158231064,73.61966657061981,623,Water Supply,1.4991974317817014
9,28.528202904803965,96.11845808572504,244,Roads & Transport,1.6311475409836065
10,8.966699934691144,90.43992713326924,484,Water Supply,1.4421487603305785
11,36.1215438355988,95.24996156530902,237,Power & Energy,1.459915611814346
12,32.14373287691522,93.94957323054346,253,Roads & Transport,1.4426877470355732
13,14.162555395022396,85.34017725150093,237,Digital & DPI,1.518987341772152
14,13.273113031172544,94.73848663930423,254,Roads & Transport,1.4763779527559056
15,13.314963849713543,70.56605150334853,236,Digital & DPI,1.5169491525423728
16,16.822926269565347,73.68348833050973,256,Power & Energy,1.43359375
17,23.07240452791312,69.71587274225088,497,Power & Energy,1.5030181086519114
18,20.52633791641083,77.43696510188148,234,Water Supply,1.4316239316239316
19,16.459977112040562,78.81319045083727,485,Digital & DPI,1.5072164948453608
20,12.046625850985459,92.03464871221135,229,Sanitation & Waste,1.4585152838427948
21,18.621518895756793,76.14670936950989,222,Sanitation & Waste,1.4639639639639639
22,21.223404314051773,83.74294353798895,218,Digital & DPI,1.5137614678899083
23,30.773781812181355,72.08465593929078,257,Power & Energy,1.3579766536964981
24,13.786934680729303,91.26620004068964,216,Roads & Transport,1.5092592592592593
25,25.17963622411595,96.62178454562614,219,Water Supply,1.5251141552511416
26,12.947091356475728,68.16565753990946,252,Sanitation & Waste,1.5436507936507937
27,9.887292624344875,91.64471223427856,223,Digital & DPI,1.493273542600897
28,35.78113330221659,88.84620352311953,457,Power & Energy,1.4726477024070022
29,31.44593537338143,90.36939960701083,259,Roads & Transport,1.501930501930502
30,16.832729422919684,70.14686385541124,249,Roads & Transport,1.4377510040160641
31,10.829070378463449,78.39517382497148,251,Water Supply,1.4302788844621515
32,27.844729745218544,71.36297805073049,248,Digital & DPI,1.3991935483870968
33,20.76290089557359,93.03174891279896,229,Digital & DPI,1.4148471615720524
34,11.544177393367145,86.06819874986547,237,Water Supply,1.4767932489451476
